,npi,nppes_provider_city,nppes_provider_zip,nppes_provider_state,avg_medicare_pay_ratio,payed_to_requested_ratio,Cluster
11932,1659329787.0,OMAHA,681988102,NE,0.9774584386821227,0.2111279248444106,2
11950,1669503108.0,OMAHA,681545336,NE,0.9596095949227085,0.28133507661199164,2
11953,1518059393.0,OMAHA,681521714,NE,0.9772389157079112,0.21214170176093625,2
11963,1285898049.0,OMAHA,681981150,NE,0.9832066237511963,0.18249584930012414,2
11967,1770618753.0,OMAHA,681981150,NE,0.9617703449452439,0.2738572686344229,2
11978,1275990285.0,LINCOLN,685102471,NE,0.9787619288546026,0.20500021127993456,2
11982,1962469288.0,OMAHA,681988095,NE,0.9639567174698119,0.26605910404424254,2
11988,1821543372.0,SIDNEY,691622901,NE,0.9975845388377873,0.06946285245942035,2
11990,1952348658.0,NORTH PLATTE,691010608,NE,0.9647615785347293,0.26312562889839813,2
11993,1144304429.0,OMAHA,681072715,NE,0.9468987862955476,0.321531784606155,2
